M366484,true
J358886,true
G207191,true
D540318,true
H401819,true
J388894,true
A343292,true
G182738,true
B487467,true
F334550,true
C379423,true
F385227,true
A187378,true
E524688,true
A406663,true
H400158,true
G283850,true
G370981,true
A209004,true
M397328,true
H552453,true
M490773,true
J485342,true
E336401,true
F492147,true
K220020,true
E508606,true
C203643,true
H510653,true
A264312,true
B476874,true
M518064,true
A394772,true
G318423,true
H330682,true
M519208,true
M448874,true
B483881,true
D523609,true
A385928,true
C326986,true
M519241,true
H452430,true
A284299,true
E530474,true
K278353,true
E540033,true
A333315,true
H384791,true
M481896,true
A241124,true
G337552,true
M311693,true
J501226,true
J482372,true
E576740,true
D409011,true
H472681,true
B438099,true
A325461,true
H580833,true
A407257,true
D366980,true
B478304,true
H538428,true
B340716,true
G192440,true
D537216,true
F529987,true
A404045,true
G345296,true
G186280,true
M488837,true
G363171,true
D378981,true
A343523,true
E586255,true
M456288,true
F562327,true
D456608,true
G280759,true
J424490,true
G314870,true
F557773,true
G248859,true
H465443,true
G152697,true
B314767,true
K442363,true
B279270,true
B296276,true
K420022,true
A357317,true
J417175,true
A313900,true
B385222,true
A336824,true
A208234,true
E504239,true
D525875,true
E319285,true
D531001,true
D526821,true
M433595,true
A246525,true
F548236,true
K384426,true
A399205,true
E408825,true
G360685,true
J335126,true
E473450,true
D539768,true
J309122,true
C186824,true
M342801,true
H576356,true
C127391,true
H354057,true
D527932,true
J494318,true
H503305,true
F562569,true
F335573,true
M486109,true
B289489,true
K205819,true
E421849,true
F563658,true
D363977,true
J393547,true
K334123,true
D540725,true
F475900,true
G281826,true
D327809,true
G338289,true
H400708,true
M48097,false
D540648,true
M291618,true
K311375,true
E586244,true
J498762,true
E385670,true
M310824,true
H397298,true
B415945,true
D387726,true
E563463,true
K449150,true
G153159,true
J261668,true
K448369,true
K395371,true
M288450,true
F564527,true
A199148,true
K447434,true
M517481,true
J402908,true
J423863,true
F375811,true
J279488,true
B298894,true
K278606,true
B315009,true
F465384,true
G132204,true
F497614,true
C201597,true
A255303,true
H353023,true
K386483,true
A235019,true
D516382,true
A191525,true
M325883,true
A304649,true
F345242,true
F563592,true
H549824,true
H578787,true
J501204,true
G193221,true
G305388,true
H482108,true
K353153,true
H545996,true
M4877440,false
A304682,true
M410715,true
A243181,true
M330635,true
G214374,true
E573231,true
E365353,true
K256188,true
J384406,true
A383541,true
K246640,true
C236742,true
D499970,true
F564791,true
E586266,true
A171582,true
G304200,true
B487555,true
F536389,true
J432652,true
J494846,true
F564736,true
H360657,true
F489573,true
M316643,true
G303727,true
C180037,true
C174130,true
G152334,true
F339753,true
G311196,true
M484085,true
K418724,true
M428018,true
A350717,true
G209512,true
C386298,true
M506085,true
A408456,true
J344476,true
D527107,true
B487357,true
C232067,true
K445487,true
G344185,true
H578127,true
H393228,true
D369081,true
C278960,true
F564813,true
F534145,true
D529626,true
M418415,true
K222539,true
E313235,true
M360214,true
H556842,true
F509725,true
D461888,true
D293720,true
D482513,true
G337871,true
H564663,true
F390771,true
J495550,true
E584682,true
D291234,true
D529384,true
A216473,true
F564824,true
